address,operation,area_habitable,terrace,area_total,administration,bedrooms,bathrooms,parking,walking_closet,loft,study_room,floor,deposit,terrace_area,construction_age,interior_exterior,elevator,finish_quality,conservation_state,location_quality,stratum,observations,contact_method,contact_info,pricing
"Apartamento en arriendo en campo valdes no.1, medellín",ARRIENDO,55.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 55.0, ""price_per_m2"": 0.0, ""total_area"": 55.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en guayaquil, medellín",ARRIENDO,50.0,False,0.0,0.0,0,2.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 50.0, ""price_per_m2"": 0.0, ""total_area"": 50.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en guayaquil, medellín",ARRIENDO,50.0,False,0.0,0.0,0,2.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 50.0, ""price_per_m2"": 0.0, ""total_area"": 50.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en belen las playas, medellín",ARRIENDO,40.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 40.0, ""price_per_m2"": 0.0, ""total_area"": 40.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en belen las playas, medellín",ARRIENDO,40.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 40.0, ""price_per_m2"": 0.0, ""total_area"": 40.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en laureles, medellín",ARRIENDO,46.0,True,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 46.0, ""price_per_m2"": 0.0, ""total_area"": 46.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en laureles, medellín",ARRIENDO,46.0,True,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 46.0, ""price_per_m2"": 0.0, ""total_area"": 46.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san antonio de prado, medellín",ARRIENDO,45.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 45.0, ""price_per_m2"": 0.0, ""total_area"": 45.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san antonio de prado, medellín",ARRIENDO,45.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 45.0, ""price_per_m2"": 0.0, ""total_area"": 45.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en calasanz, medellín",ARRIENDO,55.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 55.0, ""price_per_m2"": 0.0, ""total_area"": 55.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en calasanz, medellín",ARRIENDO,55.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 55.0, ""price_per_m2"": 0.0, ""total_area"": 55.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
Apartamento en arriendo en medellín,ARRIENDO,46.0,True,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,3,,,,"{""area"": 46.0, ""price_per_m2"": 0.0, ""total_area"": 46.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
Apartamento en arriendo en medellín,ARRIENDO,46.0,True,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,3,,,,"{""area"": 46.0, ""price_per_m2"": 0.0, ""total_area"": 46.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en villa hermosa, medellín",ARRIENDO,45.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,300 207 4401,"{""area"": 45.0, ""price_per_m2"": 0.0, ""total_area"": 45.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en villa hermosa, medellín",ARRIENDO,45.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,300 207 4401,"{""area"": 45.0, ""price_per_m2"": 0.0, ""total_area"": 45.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en cucaracho, medellín",ARRIENDO,45.0,False,0.0,0.0,3,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,604 4752340,"{""area"": 45.0, ""price_per_m2"": 0.0, ""total_area"": 45.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en cucaracho, medellín",ARRIENDO,45.0,False,0.0,0.0,3,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,604 4752340,"{""area"": 45.0, ""price_per_m2"": 0.0, ""total_area"": 45.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
Casa en arriendo en medellín,ARRIENDO,40.0,False,0.0,0.0,2,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 40.0, ""price_per_m2"": 0.0, ""total_area"": 40.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
Casa en arriendo en medellín,ARRIENDO,40.0,False,0.0,0.0,2,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 40.0, ""price_per_m2"": 0.0, ""total_area"": 40.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en robledo, medellín",ARRIENDO,47.0,True,0.0,0.0,3,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,3105064343,"{""area"": 47.0, ""price_per_m2"": 0.0, ""total_area"": 47.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en robledo, medellín",ARRIENDO,47.0,True,0.0,0.0,3,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,3105064343,"{""area"": 47.0, ""price_per_m2"": 0.0, ""total_area"": 47.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en robledo, medellín",ARRIENDO,55.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 55.0, ""price_per_m2"": 0.0, ""total_area"": 55.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en robledo, medellín",ARRIENDO,55.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 55.0, ""price_per_m2"": 0.0, ""total_area"": 55.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san antonio de prado, medellín",ARRIENDO,45.0,False,0.0,0.0,3,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 45.0, ""price_per_m2"": 0.0, ""total_area"": 45.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san antonio de prado, medellín",ARRIENDO,45.0,False,0.0,0.0,3,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 45.0, ""price_per_m2"": 0.0, ""total_area"": 45.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san antonio de prado, medellín",ARRIENDO,55.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 55.0, ""price_per_m2"": 0.0, ""total_area"": 55.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san antonio de prado, medellín",ARRIENDO,55.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 55.0, ""price_per_m2"": 0.0, ""total_area"": 55.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san antonio de prado, medellín",ARRIENDO,42.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san antonio de prado, medellín",ARRIENDO,42.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en robledo, medellín",ARRIENDO,45.0,True,0.0,0.0,3,2.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 45.0, ""price_per_m2"": 0.0, ""total_area"": 45.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en robledo, medellín",ARRIENDO,45.0,True,0.0,0.0,3,2.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 45.0, ""price_per_m2"": 0.0, ""total_area"": 45.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san javier, medellín",ARRIENDO,54.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,320 5003585,"{""area"": 54.0, ""price_per_m2"": 0.0, ""total_area"": 54.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san javier, medellín",ARRIENDO,54.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,320 5003585,"{""area"": 54.0, ""price_per_m2"": 0.0, ""total_area"": 54.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en villa hermosa, medellín",ARRIENDO,60.0,False,0.0,0.0,3,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 60.0, ""price_per_m2"": 0.0, ""total_area"": 60.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en villa hermosa, medellín",ARRIENDO,60.0,False,0.0,0.0,3,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 60.0, ""price_per_m2"": 0.0, ""total_area"": 60.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en belén los alpes, medellín",ARRIENDO,50.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,3,,,,"{""area"": 50.0, ""price_per_m2"": 0.0, ""total_area"": 50.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en belén los alpes, medellín",ARRIENDO,50.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,3,,,,"{""area"": 50.0, ""price_per_m2"": 0.0, ""total_area"": 50.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san javier, medellín",ARRIENDO,48.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 48.0, ""price_per_m2"": 0.0, ""total_area"": 48.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en san javier, medellín",ARRIENDO,48.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 48.0, ""price_per_m2"": 0.0, ""total_area"": 48.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
